"Date","Index","Close","Close_scale"
"2020-03-16","GOOGL",1073,78.4
"2020-03-17","GOOGL",1118.060059,81.69
"2020-03-18","GOOGL",1091.189941,79.73
"2020-03-19","GOOGL",1111.670044,81.22
"2020-03-20","GOOGL",1068.209961,78.05
"2020-03-23","GOOGL",1054.130005,77.02
"2020-03-24","GOOGL",1130.01001,82.56
"2020-03-25","GOOGL",1101.619995,80.49
"2020-03-26","GOOGL",1162.920044,84.97
"2020-03-27","GOOGL",1110.26001,81.12
"2020-03-30","GOOGL",1146.310059,83.75
"2020-03-31","GOOGL",1161.949951,84.9
"2020-04-01","GOOGL",1102.099976,80.52
"2020-04-02","GOOGL",1117.030029,81.61
"2020-04-03","GOOGL",1092.699951,79.84
"2020-04-06","GOOGL",1183.189941,86.45
"2020-04-07","GOOGL",1182.560059,86.4
"2020-04-08","GOOGL",1207,88.19
"2020-04-09","GOOGL",1206.569946,88.16
"2020-04-13","GOOGL",1210.410034,88.44
"2020-04-14","GOOGL",1265.22998,92.44
"2020-04-15","GOOGL",1257.300049,91.86
"2020-04-16","GOOGL",1257.430054,91.87
"2020-04-17","GOOGL",1279,93.45
"2020-04-20","GOOGL",1261.150024,92.14
"2020-04-21","GOOGL",1212.160034,88.56
"2020-04-22","GOOGL",1258.410034,91.94
"2020-04-23","GOOGL",1271.170044,92.88
"2020-04-24","GOOGL",1276.599976,93.27
"2020-04-27","GOOGL",1270.859985,92.85
"2020-04-28","GOOGL",1232.589966,90.06
"2020-04-29","GOOGL",1342.180054,98.06
"2020-04-30","GOOGL",1346.699951,98.39
"2020-05-01","GOOGL",1317.319946,96.25
"2020-05-04","GOOGL",1322.900024,96.66
"2020-05-05","GOOGL",1349.02002,98.56
"2020-05-06","GOOGL",1345.430054,98.3
"2020-05-07","GOOGL",1369.280029,100.04
"2020-05-08","GOOGL",1384.339966,101.14
"2020-05-11","GOOGL",1403.589966,102.55
"2020-05-12","GOOGL",1375.180054,100.47
"2020-05-13","GOOGL",1348.329956,98.51
"2020-05-14","GOOGL",1356.859985,99.14
"2020-05-15","GOOGL",1373.060059,100.32
"2020-05-18","GOOGL",1385.180054,101.21
"2020-05-19","GOOGL",1374.400024,100.42
"2020-05-20","GOOGL",1409.160034,102.96
"2020-05-21","GOOGL",1406.75,102.78
"2020-05-22","GOOGL",1413.23999,103.26
"2020-05-26","GOOGL",1421.369995,103.85
"2020-05-27","GOOGL",1420.280029,103.77
"2020-05-28","GOOGL",1418.23999,103.62
"2020-05-29","GOOGL",1433.52002,104.74
"2020-06-01","GOOGL",1434.869995,104.84
"2020-06-02","GOOGL",1442.310059,105.38
"2020-06-03","GOOGL",1439.25,105.16
"2020-06-04","GOOGL",1414.300049,103.33
"2020-06-05","GOOGL",1440.02002,105.21
"2020-06-08","GOOGL",1448.040039,105.8
"2020-06-09","GOOGL",1452.079956,106.09
"2020-06-10","GOOGL",1464.699951,107.02
"2020-06-11","GOOGL",1401.900024,102.43
"2020-06-12","GOOGL",1412.920044,103.23
"2020-06-15","GOOGL",1420.73999,103.8
"2020-06-16","GOOGL",1446.469971,105.68
"2020-06-17","GOOGL",1452.540039,106.13
"2020-06-18","GOOGL",1434.119995,104.78
"2020-06-19","GOOGL",1424.640015,104.09
"2020-06-22","GOOGL",1450.660034,105.99
"2020-06-23","GOOGL",1463.97998,106.96
"2020-06-24","GOOGL",1432.699951,104.68
"2020-06-25","GOOGL",1441.099976,105.29
"2020-06-26","GOOGL",1362.540039,99.55
"2020-06-29","GOOGL",1397.170044,102.08
"2020-06-30","GOOGL",1418.050049,103.61
"2020-07-01","GOOGL",1442,105.36
"2020-07-02","GOOGL",1469.930054,107.4
"2020-07-06","GOOGL",1499.650024,109.57
"2020-07-07","GOOGL",1489.920044,108.86
"2020-07-08","GOOGL",1503.599976,109.86
"2020-07-09","GOOGL",1518.660034,110.96
"2020-07-10","GOOGL",1539.01001,112.44
"2020-07-13","GOOGL",1512.22998,110.49
"2020-07-14","GOOGL",1520.859985,111.12
"2020-07-15","GOOGL",1516.880005,110.83
"2020-07-16","GOOGL",1514.920044,110.68
"2020-07-17","GOOGL",1516.849976,110.83
"2020-07-20","GOOGL",1563.839966,114.26
"2020-07-21","GOOGL",1555.920044,113.68
"2020-07-22","GOOGL",1564.849976,114.33
"2020-07-23","GOOGL",1516.75,110.82
"2020-07-24","GOOGL",1508.209961,110.19
"2020-07-27","GOOGL",1529.430054,111.74
"2020-07-28","GOOGL",1503.650024,109.86
"2020-07-29","GOOGL",1523.51001,111.31
"2020-07-30","GOOGL",1538.369995,112.4
"2020-07-31","GOOGL",1487.949951,108.71
"2020-08-03","GOOGL",1482.76001,108.34
"2020-08-04","GOOGL",1473.300049,107.64
"2020-08-05","GOOGL",1479.089966,108.07
"2020-08-06","GOOGL",1504.949951,109.96
"2020-08-07","GOOGL",1498.369995,109.48
"2020-08-10","GOOGL",1496.819946,109.36
"2020-08-11","GOOGL",1480.540039,108.17
"2020-08-12","GOOGL",1507.23999,110.12
"2020-08-13","GOOGL",1516.650024,110.81
"2020-08-14","GOOGL",1504.630005,109.93
"2020-08-17","GOOGL",1516.23999,110.78
"2020-08-18","GOOGL",1555.780029,113.67
"2020-08-19","GOOGL",1544.609985,112.85
"2020-08-20","GOOGL",1576.25,115.17
"2020-08-21","GOOGL",1575.569946,115.12
"2020-08-24","GOOGL",1585.150024,115.82
"2020-08-25","GOOGL",1605.849976,117.33
"2020-08-26","GOOGL",1644.130005,120.13
"2020-08-27","GOOGL",1628.52002,118.98
"2020-08-28","GOOGL",1639.430054,119.78
"2020-08-31","GOOGL",1629.530029,119.06
"2020-09-01","GOOGL",1655.079956,120.93
"2020-09-02","GOOGL",1717.390015,125.48
"2020-09-03","GOOGL",1629.51001,119.06
"2020-09-04","GOOGL",1581.209961,115.53
"2020-09-08","GOOGL",1523.599976,111.32
"2020-09-09","GOOGL",1547.22998,113.05
"2020-09-10","GOOGL",1526.050049,111.5
"2020-09-11","GOOGL",1515.76001,110.75
"2020-09-14","GOOGL",1508.829956,110.24
"2020-09-15","GOOGL",1535.119995,112.16
"2020-09-16","GOOGL",1512.089966,110.48
"2020-09-17","GOOGL",1487.040039,108.65
"2020-09-18","GOOGL",1451.089966,106.02
"2020-09-21","GOOGL",1430.140015,104.49
"2020-09-22","GOOGL",1459.819946,106.66
"2020-09-23","GOOGL",1409.390015,102.97
"2020-09-24","GOOGL",1422.859985,103.96
"2020-09-25","GOOGL",1439.060059,105.14
"2020-09-28","GOOGL",1458.660034,106.57
"2020-09-29","GOOGL",1466.02002,107.11
"2020-09-30","GOOGL",1465.599976,107.08
"2020-10-01","GOOGL",1487.900024,108.71
"2020-10-02","GOOGL",1455.599976,106.35
"2020-10-05","GOOGL",1482.829956,108.34
"2020-10-06","GOOGL",1451.02002,106.02
"2020-10-07","GOOGL",1459.140015,106.61
"2020-10-08","GOOGL",1483.430054,108.38
"2020-10-09","GOOGL",1510.449951,110.36
"2020-10-12","GOOGL",1564.589966,114.31
"2020-10-13","GOOGL",1567.069946,114.49
"2020-10-14","GOOGL",1563.439941,114.23
"2020-10-15","GOOGL",1555.469971,113.65
"2020-10-16","GOOGL",1567.699951,114.54
"2020-10-19","GOOGL",1529.949951,111.78
"2020-10-20","GOOGL",1551.079956,113.33
"2020-10-21","GOOGL",1585.98999,115.88
"2020-10-22","GOOGL",1606.660034,117.39
"2020-10-23","GOOGL",1632.97998,119.31
"2020-10-26","GOOGL",1584.290039,115.75
"2020-10-27","GOOGL",1598.880005,116.82
"2020-10-28","GOOGL",1510.800049,110.38
"2020-10-29","GOOGL",1556.880005,113.75
"2020-10-30","GOOGL",1616.109985,118.08
"2020-11-02","GOOGL",1624.319946,118.68
"2020-11-03","GOOGL",1645.660034,120.24
"2020-11-04","GOOGL",1745.849976,127.56
"2020-11-05","GOOGL",1762.5,128.77
"2020-11-06","GOOGL",1759.72998,128.57
"2020-11-09","GOOGL",1761.420044,128.69
"2020-11-10","GOOGL",1737.719971,126.96
"2020-11-11","GOOGL",1747.22998,127.66
"2020-11-12","GOOGL",1742.819946,127.34
"2020-11-13","GOOGL",1772.26001,129.49
"2020-11-16","GOOGL",1774.030029,129.62
"2020-11-17","GOOGL",1761.660034,128.71
"2020-11-18","GOOGL",1740.640015,127.18
"2020-11-19","GOOGL",1758.569946,128.49
"2020-11-20","GOOGL",1736.380005,126.87
"2020-11-23","GOOGL",1727.560059,126.22
"2020-11-24","GOOGL",1763.900024,128.88
"2020-11-25","GOOGL",1764.130005,128.89
"2020-11-27","GOOGL",1787.02002,130.57
"2020-11-30","GOOGL",1754.400024,128.18
"2020-12-01","GOOGL",1795.359985,131.17
"2020-12-02","GOOGL",1824.969971,133.34
"2020-12-03","GOOGL",1821.839966,133.11
"2020-12-04","GOOGL",1823.76001,133.25
"2020-12-07","GOOGL",1817.030029,132.76
"2020-12-08","GOOGL",1811.329956,132.34
"2020-12-09","GOOGL",1777.859985,129.9
"2020-12-10","GOOGL",1767.650024,129.15
"2020-01-02","TWTR",32.299999,100
"2020-01-03","TWTR",31.52,97.59
"2020-01-06","TWTR",31.639999,97.96
"2020-01-07","TWTR",32.540001,100.74
"2020-01-08","TWTR",33.049999,102.32
"2020-01-09","TWTR",33.220001,102.85
"2020-01-10","TWTR",32.779999,101.49
"2020-01-13","TWTR",32.689999,101.21
"2020-01-14","TWTR",32.82,101.61
"2020-01-15","TWTR",33.23,102.88
"2020-01-16","TWTR",34.189999,105.85
"2020-01-17","TWTR",34.220001,105.94
"2020-01-21","TWTR",34.09,105.54
"2020-01-22","TWTR",34.02,105.33
"2020-01-23","TWTR",33.889999,104.92
"2020-01-24","TWTR",33.189999,102.76
"2020-01-27","TWTR",32.779999,101.49
"2020-01-28","TWTR",33.419998,103.47
"2020-01-29","TWTR",33.630001,104.12
"2020-01-30","TWTR",33.220001,102.85
"2020-01-31","TWTR",32.48,100.56
"2020-02-03","TWTR",33.07,102.38
"2020-02-04","TWTR",33.959999,105.14
"2020-02-05","TWTR",33.389999,103.37
"2020-02-06","TWTR",38.41,118.92
"2020-02-07","TWTR",37.029999,114.64
"2020-02-10","TWTR",35.959999,111.33
"2020-02-11","TWTR",35.650002,110.37
"2020-02-12","TWTR",36.790001,113.9
"2020-02-13","TWTR",37.16,115.05
"2020-02-14","TWTR",36.91,114.27
"2020-02-18","TWTR",38.060001,117.83
"2020-02-19","TWTR",38.77,120.03
"2020-02-20","TWTR",39.049999,120.9
"2020-02-21","TWTR",38.310001,118.61
"2020-02-24","TWTR",35.889999,111.11
"2020-02-25","TWTR",35.209999,109.01
"2020-02-26","TWTR",34.630001,107.21
"2020-02-27","TWTR",33.009998,102.2
"2020-02-28","TWTR",33.200001,102.79
"2020-03-02","TWTR",35.82,110.9
"2020-03-03","TWTR",34.93,108.14
"2020-03-04","TWTR",36,111.46
"2020-03-05","TWTR",34.970001,108.27
"2020-03-06","TWTR",33.459999,103.59
"2020-03-09","TWTR",32.459999,100.5
"2020-03-10","TWTR",34.310001,106.22
"2020-03-11","TWTR",31.299999,96.9
"2020-03-12","TWTR",26.780001,82.91
"2020-03-13","TWTR",29.290001,90.68
"2020-03-16","TWTR",24.040001,74.43
"2020-03-17","TWTR",24.48,75.79
"2020-03-18","TWTR",22,68.11
"2020-03-19","TWTR",24.129999,74.71
"2020-03-20","TWTR",23.950001,74.15
"2020-03-23","TWTR",24.690001,76.44
"2020-03-24","TWTR",25.85,80.03
"2020-03-25","TWTR",25.969999,80.4
"2020-03-26","TWTR",26.41,81.76
"2020-03-27","TWTR",25.290001,78.3
"2020-03-30","TWTR",25.59,79.23
"2020-03-31","TWTR",24.559999,76.04
"2020-04-01","TWTR",23.32,72.2
"2020-04-02","TWTR",23.02,71.27
"2020-04-03","TWTR",23.09,71.49
"2020-04-06","TWTR",24.93,77.18
"2020-04-07","TWTR",25.610001,79.29
"2020-04-08","TWTR",27.860001,86.25
"2020-04-09","TWTR",27.77,85.98
"2020-04-13","TWTR",27.209999,84.24
"2020-04-14","TWTR",27.940001,86.5
"2020-04-15","TWTR",27.51,85.17
"2020-04-16","TWTR",26.549999,82.2
"2020-04-17","TWTR",26.700001,82.66
"2020-04-20","TWTR",27.01,83.62
"2020-04-21","TWTR",25.75,79.72
"2020-04-22","TWTR",28.440001,88.05
"2020-04-23","TWTR",27.860001,86.25
"2020-04-24","TWTR",28.74,88.98
"2020-04-27","TWTR",30,92.88
"2020-04-28","TWTR",28.790001,89.13
"2020-04-29","TWTR",31.09,96.25
"2020-04-30","TWTR",28.68,88.79
"2020-05-01","TWTR",27.84,86.19
"2020-05-04","TWTR",28.23,87.4
"2020-05-05","TWTR",28.07,86.9
"2020-05-06","TWTR",27.68,85.7
"2020-05-07","TWTR",28.77,89.07
"2020-05-08","TWTR",29.93,92.66
"2020-05-11","TWTR",29.690001,91.92
"2020-05-12","TWTR",29.15,90.25
"2020-05-13","TWTR",28.129999,87.09
"2020-05-14","TWTR",28.559999,88.42
"2020-05-15","TWTR",29,89.78
"2020-05-18","TWTR",29.639999,91.76
"2020-05-19","TWTR",29.879999,92.51
"2020-05-20","TWTR",32.23,99.78
"2020-05-21","TWTR",32.34,100.12
"2020-05-22","TWTR",32.619999,100.99
"2020-05-26","TWTR",34.009998,105.29
"2020-05-27","TWTR",33.07,102.38
"2020-05-28","TWTR",31.6,97.83
"2020-05-29","TWTR",30.969999,95.88
"2020-06-01","TWTR",31.889999,98.73
"2020-06-02","TWTR",32.259998,99.88
"2020-06-03","TWTR",34.880001,107.99
"2020-06-04","TWTR",33.720001,104.4
"2020-06-05","TWTR",34.869999,107.96
"2020-06-08","TWTR",36.639999,113.44
"2020-06-09","TWTR",35.919998,111.21
"2020-06-10","TWTR",35.139999,108.79
"2020-06-11","TWTR",33.029999,102.26
"2020-06-12","TWTR",33.400002,103.41
"2020-06-15","TWTR",34.110001,105.6
"2020-06-16","TWTR",34.630001,107.21
"2020-06-17","TWTR",34.34,106.32
"2020-06-18","TWTR",34.029999,105.36
"2020-06-19","TWTR",33.41,103.44
"2020-06-22","TWTR",33.470001,103.62
"2020-06-23","TWTR",32.91,101.89
"2020-06-24","TWTR",31.73,98.24
"2020-06-25","TWTR",31.370001,97.12
"2020-06-26","TWTR",29.049999,89.94
"2020-06-29","TWTR",29.49,91.3
